resp_ 1	resp_ 2	resp_ 3	resp_ 4	resp_ 5	resp_ 6	resp_ 7	resp_ 8	resp_ 9	resp_10	resp_11	resp_12	resp_13	resp_14	resp_15	resp_16	resp_17	resp_18	resp_19	resp_20	resp_21	resp_22	resp_23	resp_24	resp_25	resp_26	resp_27	resp_28	resp_29	resp_30	resp_31	resp_32	resp_33	resp_34	resp_35	resp_36	resp_37	resp_38	resp_39	resp_40	resp_41	resp_42	resp_43	resp_44	resp_45	resp_46	resp_47	resp_48	resp_49	resp_50	resp_51	resp_52	resp_53	resp_54	resp_55	resp_56	resp_57	resp_58	resp_59	resp_60	resp_61	resp_62	resp_63	resp_64	resp_65	resp_66	resp_67	resp_68	resp_69	resp_70	resp_71	resp_72	resp_73	resp_74	resp_75	resp_76	resp_77	resp_78	resp_79	resp_80	resp_81	resp_82	resp_83	resp_84	resp_85	resp_86	resp_87	resp_88	resp_89	resp_90	resp_91	resp_92	resp_93	resp_94	cat_ 1	cat_ 2	cat_ 3	cat_ 4	cat_ 5	cat_ 6	cat_ 7	cat_ 8	cat_ 9	cat_10	cat_11	cat_12	cat_13	cat_14	cat_15	cat_16	cat_17	cat_18	cat_19	cat_20	cat_21	cat_22	cat_23	cat_24	cat_25	cat_26	cat_27	cat_28	cat_29	cat_30	cat_31	cat_32	cat_33	cat_34	cat_35	cat_36	cat_37	cat_38	cat_39	cat_40	cat_41	cat_42	cat_43	cat_44	cat_45	cat_46	cat_47	cat_48	cat_49	cat_50	cat_51	cat_52	cat_53	cat_54	cat_55	cat_56	cat_57	cat_58	cat_59	cat_60	cat_61	cat_62	cat_63	cat_64	cat_65	cat_66	cat_67	cat_68	cat_69	cat_70	cat_71	cat_72	cat_73	cat_74	cat_75	cat_76	cat_77	cat_78	cat_79	cat_80	cat_81	cat_82	cat_83	cat_84	cat_85	cat_86	cat_87	cat_88	cat_89	cat_90	cat_91	cat_92	cat_93	cat_94	time_ 1	time_ 2	time_ 3	time_ 4	time_ 5	time_ 6	time_ 7	time_ 8	time_ 9	time_10	time_11	time_12	time_13	time_14	time_15	time_16	time_17	time_18	time_19	time_20	time_21	time_22	time_23	time_24	time_25	time_26	time_27	time_28	time_29	time_30	time_31	time_32	time_33	time_34	time_35	time_36	time_37	time_38	time_39	time_40	time_41	time_42	time_43	time_44	time_45	time_46	time_47	time_48	time_49	time_50	time_51	time_52	time_53	time_54	time_55	time_56	time_57	time_58	time_59	time_60	time_61	time_62	time_63	time_64	time_65	time_66	time_67	time_68	time_69	time_70	time_71	time_72	time_73	time_74	time_75	time_76	time_77	time_78	time_79	time_80	time_81	time_82	time_83	time_84	time_85	time_86	time_87	time_88	time_89	time_90	time_91	time_92	time_93	time_94
52	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	abt_fact	abt_fact																																																																																													2.74137394000081	3.05424694699923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	abt_fact	abt_fact																																																																																													2.75713033100055	3.0708441859997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	abt_fact	abt_fact																																																																																													2.77375883500008	3.08756633099983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	abt_fact	abt_fact																																																																																													2.79043351500059	3.10417920899999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	abt_fact	abt_fact																																																																																													2.80704321200028	3.12094960499962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	abt_fact	abt_fact																																																																																													2.82379066300018	3.1375786210001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	abt_fact	abt_fact																																																																																													2.84040954900047	3.15429494499949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	abt_fact	abt_fact																																																																																													2.85718899099993	3.17097276099958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	abt_fact	abt_fact																																																																																													2.87384491900048	3.18766494899955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70.0000000000001	70.0000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	abt_fact	abt_fact																																																																																													2.89044735500011	3.20438494299924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
